school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
JUYING SECONDARY SCHOOL,http://juyingsec.moe.edu.sg,33 JURONG WEST STREET 91   ,649038,63089898,na,67932835,na,juying_ss@moe.edu.sg,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",MR ANG CHERN KWANG,MR NG HAN MING,MR CHUA YEW WEI,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
KEMING PRIMARY SCHOOL,http://www.kemingpri.moe.edu.sg,90 BUKIT BATOK EAST AVENUE 6   ,659762,68962054,na,65632356,na,kmps@moe.edu.sg,Bukit Batok,"61, 66, 77, 106, 157, 174, 178, 963",MR CHEN BING HONG,MISS NG MEI YUN,MR TAY KHYE PING (ZHENG KAIBIN),na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KENT RIDGE SECONDARY SCHOOL,http://www.kentridgesec.moe.edu.sg,147 WEST COAST ROAD   ,127368,67731127,na,67735119,na,krss@moe.edu.sg,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",MADAM GOH MIEN HUI VALERIE,MADAM YAP SHARON,MADAM MABEL CHIA BEE KHIM,MR KOH HWAI TONG,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,na
KHENG CHENG SCHOOL,http://www.khengcheng.moe.edu.sg/,15 LORONG 3 TOA PAYOH   ,319580,62552502,na,62556569,na,kcs@moe.edu.sg,Braddell,"SBS 235, 56, 73, 88, 157, 159, 163, 231",MADAM TAN HUILING CHERYL,MR KHOO GHEE HAN,MR SHEN PINHONG,MR PUN KIAN PENG,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KONG HWA SCHOOL,http://www.konghwa.moe.edu.sg,350 GUILLEMARD ROAD   ,399772,63421195,na,63421120,na,konghwa_sch@moe.edu.sg,Dakota,"Service 7, 70, 70M, 197(to Guillemard Road)",MR POON SIOW LENG RAYMOND,MADAM UE TAY SZE YIN,MADAM TEO SIEW KHIM,MADAM NG BEE HOON,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
KRANJI PRIMARY SCHOOL,http://kranjipri.moe.edu.sg,11 CHOA CHU KANG STREET 54   ,689189,67634812,na,67634568,na,kranji_ps@moe.edu.sg,Yew Tee MRT,"Bus No 307, 302",MADAM WONG HIAN HWEE CONSTANCE,MADAM WONG SEOW LING,MADAM LEE LENG HUI (LI LINGHUI),na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KRANJI SECONDARY SCHOOL,http://www.kranjisec.moe.edu.sg,61 CHOA CHU KANG STREET 51   ,689333,67662464,na,67662095,na,kranji_ss@moe.edu.sg,"CHOA CHU KANG MRT, YEW TEE MRT","302, 974, 979",MR CHUA LEK HONG,MR KOO TIANNUO,MISS PARVATHI THEVI D/O VEERIAH,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,http://www.kuochuanpresbyterianpri.moe.edu.sg,8 BISHAN STREET 13   ,579793,62595396,na,62588012,na,kcpps@moe.edu.sg,Bishan MRT Station,"54, 56, 410, 410G",MADAM YEE-TOH GEK KHIAW,MISS LIN HUIXIN SHARON,MR TAN CHIN HENG,MISS ESTHER ONG CHIN CHIN,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,http://www.kuochuanpresbyteriansec.moe.edu.sg,10 BISHAN STREET 13   ,579795,62593811,na,63536535,na,kcpss@moe.edu.sg,BISHAN MRT,"54, 56, 410G, 410W",MR JUSTIN TAN,MADAM LEE CHUI ENG,MR EKA TANU,MR PHANG TECK KING,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
LAKESIDE PRIMARY SCHOOL,http://www.lakesidepri.moe.edu.sg/,161 Corporation Walk   ,618310,62620918,na,62621021,na,lakeside_ps@moe.edu.sg,Lakeside MRT,"30, 49, 98, 98M",MADAM YAP SIU LIN,MISS HAN MINGFANG CHARMAIN,MS WU YASHI,MADAM CHUA LENG LENG (CAI LINGLING),na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
LIANHUA PRIMARY SCHOOL,http://www.lianhuapri.moe.edu.sg/,2 BUKIT BATOK STREET 52   ,659243,65639502,na,65639591,na,lianhua_ps@moe.edu.sg,Bukit Gombak/Bukit Batok,945,MISS KIEW HUI LI PAMELA,MADAM MAVIS SIEW SOOK LING,MADAM TAN WAN PHING JANICE,"MR LEE TZE WEI, JEFFREY",na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
LOYANG VIEW SECONDARY SCHOOL,http://www.loyangviewsec.moe.edu.sg,12 PASIR RIS STREET 11   ,519073,65821727,na,65810557,na,loyangview_ss@moe.edu.sg,PASIR RIS MRT,"12, 21, 39, 53, 81, 109, 359, 518",MR LIN YUCHENG EUGENE,MADAM TAN SHAO MAY,MISS LIEW XUE TING ADELINE,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
MAHA BODHI SCHOOL,http://www.mahabodhi.moe.edu.sg/,10 UBI AVENUE 1   ,408931,67442115,na,67443752,na,mbs@moe.edu.sg,"Eunos Station (Transfer Bus No.63, 63M), Ubi Station (Transfer Bus No. 137)","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",MADAM TENG LAI KWAN,MR WEE HOCK MENG VICTOR,MR YE JIAMING AARON,MADAM LIM CHIU EE,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na
MANJUSRI SECONDARY SCHOOL,http://www.manjusrisec.moe.edu.sg,20 UBI AVENUE 1   ,408940,68424558,na,67454492,na,manjusri_ss@moe.edu.sg,UBI MRT,"5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",MR SIM CHONG BOON,MR LIN JUNKAI,MR GOH PAI SHEN,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,na
MARIS STELLA HIGH SCHOOL,http://www.marisstellahigh.moe.edu.sg,25 MOUNT VERNON ROAD   ,368051,62803880 (Sec),62827743 (Pri),62886905 (Sec),62827905 (Pri),msh@moe.edu.sg,BARTLEY MRT,"28, 93, 129, 158",MR BOY ENG SENG,MRS LIM QING YI,MR PAN JINGLIU,MDM ANG CHWEE YING PEARLY,MR DANIEL TAN,"MR LOO KUI-JIN, LOUIS",MR LEE KO YONG,TOA PAYOH,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL (P1-S4),Yes,Yes,No,No,CHINESE,na,na
MARSILING PRIMARY SCHOOL,http://www.marsilingpri.moe.edu.sg,31 WOODLANDS CENTRE ROAD   ,738927,62696193,na,62699050,na,marsiling_ps@moe.edu.sg,Marsiling MRT Station,"856, 911, 912",MADAM HEATHER SIM SIAW CHENG,MR JACKSON KEK,na,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MARSILING SECONDARY SCHOOL,http://www.marsilingsec.moe.edu.sg,12 MARSILING ROAD   ,739110,68941413,na,68946156,na,marsiling_ss@moe.edu.sg,MARSILING MRT,"913, 911",MR KOH YIAK KHENG,MR MOHAMED NASIM S/O ABDUL RAHIM,MR TAN TONG AIK,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
MARYMOUNT CONVENT SCHOOL,http://www.marymountconvent.moe.edu.sg,20 Marymount Road   ,297754,6256 6701,6256 6532,6254 3080,na,mmcs@moe.edu.sg,"Braddell MRT Station or , Caldecott MRT Station","141, 235",MISS CHEONG HWEE KHIM,MRS MRS DEBBIE CHOW,MADAM TAN MEI MEI ANNA,"MS NG CHIOU HIEN, HELEN MRS HELEN TAN",MR LOH YEH CHANG HENRY,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MAYFLOWER PRIMARY SCHOOL,http://www.mayflowerpri.moe.edu.sg,200 Ang Mo Kio Avenue 5   ,569878,64520849,na,64534116,na,mayflower_ps@moe.edu.sg,Yio Chu Kang MRT Station.,"13, 86, 138, 162, 269, 851, 852, 853.",MISS CECILIA LIM SEOK CHENG,MADAM CHNG HWUI LIN WINEFREDE,MRS SANTHI D/O K RAMACHANDRAN,MR KWOK KENG LIAN,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MAYFLOWER SECONDARY SCHOOL,http://www.mayflowersec.moe.edu.sg,2 ANG MO KIO STREET 21   ,569384,64577783,na,64583284,na,mayflower_ss@moe.edu.sg,"ANG MO KIO MRT, MAYFLOWER MRT","71, 76, 132, 165, 166, 169, 262, 265, 268, 269",MR LIM YU KEE,MADAM NUR HIDAYANI IBRAHIM,MR DARIUS TAN JUN RONG,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
MEE TOH SCHOOL,http://www.meetoh.moe.edu.sg/,21 EDGEDALE PLAINS   ,828867,64893326,na,64893243,na,meetoh_sch@moe.edu.sg,Punggol Station,"3, 62, 83, 381",MR TAY HSIEN CHUAN KELVIN,MR LEE CHONG TART RONALD,MISS PER YEN LENG,MISS CHUA CHEW HIANG,na,na,na,PUNGGOL,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MERIDIAN PRIMARY SCHOOL,http://www.meridianpri.moe.edu.sg/,20 PASIR RIS ST 71   ,518798,65832125,na,65834993,na,meridian_ps@moe.edu.sg,Pasir Ris MRT Station,"3, 359",MDM CHEW SIANG JIUN,MR LIM KIM MIN (LIN JINMIN),MR WANG TAI WEE,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MERIDIAN SECONDARY SCHOOL,http://www.meridiansec.moe.edu.sg,31 PASIR RIS STREET 51   ,518901,65831387,na,65836467,na,meridian_sec@moe.edu.sg,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",MR PUAH YOU KAI,MISS TAN LI PING,MRS TAY NGEE SEEW,MS NURSYHA BINTE KOLOOS,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
METHODIST GIRLS' SCHOOL (PRIMARY),https://www.mgs.moe.edu.sg/,11 Blackmore Drive   ,599986,64694800,na,64624166,na,mgps@moe.edu.sg,King Albert Park MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 852, 961, 970",YOONG NYOK KE PAMELA,MR HO KOK SOON,MADAM LEE CHIAK LING,MR LEE KOK BOON,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
METHODIST GIRLS' SCHOOL (SECONDARY),http://www.mgs.moe.edu.sg,11 BLACKMORE DRIVE   ,599986,64694800,na,64698717,na,mgss@moe.edu.sg,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 174, 852, 961, 970",MISS YOONG NYOK KE PAMELA,MADAM CHNG YI NA @MRS WRIGHT YI NA,MDM TAN P'ENG DIANA,MR YIP WAI CHOONG,na,na,na,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),No,No,No,Yes,CHINESE,MALAY,TAMIL
MILLENNIA INSTITUTE,http://www.millenniainstitute.moe.edu.sg,60 Bukit Batok West Avenue 8   ,658965,63023700,na,63023767,na,millennia_inst@moe.edu.sg,Bukit Batok (NS 2),"157, 174, 174e, 178, 506, 870, 941, 991, 993",MR LOO MING YAW,MR TAN KENG CHEONG,MR DAVID ALLAN D'SOUZA,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,No,No,No,No,CHINESE,MALAY,TAMIL
MONTFORT JUNIOR SCHOOL,http://www.montfortjunior.moe.edu.sg/,52 HOUGANG AVENUE 8   ,538786,65101588,na,65101599,na,montfort_js@moe.edu.sg,Hougang MRT & Bus Interchange,"74, 88, 101, 147, 161",MR TAN BOON HONG VICTOR,MADAM POH LEE SIEW,MR TAN WEE BOON,na,na,na,na,HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
MONTFORT SECONDARY SCHOOL,https://montfortsec.moe.edu.sg/,50 HOUGANG AVENUE 8   ,538785,65107070,na,63862804,na,montfort_ss@moe.edu.sg,HOUGANG MRT,"74, 74e, 88, 88A, 101, 147, 147A, 161",MADAM RACHEL ANG LAY KOON,MR WILSON TAY SWEE KIAT,MISS TAN MEI LING AUDREY,MR HAN WEE FONG (HAN WEIFENG),MADAM TAN LAY YEN,na,na,HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
NAN CHIAU HIGH SCHOOL,http://www.nanchiauhigh.moe.edu.sg,20 ANCHORVALE LINK   ,545079,64897971,na,64897970,na,nchs@moe.edu.sg,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",MADAM LER JIA LUEN,MADAM CHOW NYET YOON,DR. OH BEE LENG HESTER,MR LIN GANFENG @ LIM HONG SHANG,na,na,na,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),Yes,No,No,No,CHINESE,na,na
NAN CHIAU PRIMARY SCHOOL,http://www.ncps.moe.edu.sg,50 ANCHORVALE LINK   ,545080,64897905,na,64897906,na,ncps@moe.edu.sg,Sengkang Station,"156, 159, 161, 371, 372",MRS ONG LOH JIA MIIN,"MDM HOE QUEE HIANG, BELINDA",MR LOW HAN YI KENNY,MR WINSTON TAN WEE SING,na,na,na,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NAN HUA HIGH SCHOOL,http://www.nanhuahigh.moe.edu.sg,41 CLEMENTI AVENUE 1   ,129956,67788303,na,67751956,na,nhhs@moe.edu.sg,CLEMENTI MRT,"14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963",MR CHIEW JING WEN,MISS TAY JIA MING JASMINE,MR LOO JIAMING,MR NG KOK HENG,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),Yes,Yes,No,No,CHINESE,na,na
NAN HUA PRIMARY SCHOOL,http://www.nanhuapri.moe.edu.sg,30 Jalan Lempeng   ,128806,67788050,na,67784127,na,nhps@moe.edu.sg,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",MADAM PHUA YIN LIN GRACE,MISS TEH LAY CHOO ANNE,"MR LIM PENG YUAN, ANDY",na,na,na,na,CLEMENTI,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,CHINESE,na,na
NANYANG GIRLS' HIGH SCHOOL,https://www.nygh.edu.sg,2 LINDEN DRIVE   ,288683,64663275,na,64667564,na,nanyanggirls@nygh.edu.sg,"SIXTH AVENUE MRT, TAN KAH KEE MRT","67, 74, 151, 154, 156, 157, 170, 174, 852, 961",MISS SIAU FONG FUI,MS NG MIEN MIEN AGNES,MISS GAYNOR TEH,MS TAN MEEI YEE MAE PAULINE,na,na,na,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY (S1-S4),Yes,No,Yes,Yes,CHINESE,na,na
NANYANG JUNIOR COLLEGE,http://www.nanyangjc.moe.edu.sg/,128 SERANGOON AVENUE 3   ,556111,62842281,na,62855147,na,nyjc@moe.edu.sg,Lorong Chuan (Circle Line/CC14); 3-minute walk via sheltered walkway,"22, 24, 45, 53, 58, 73, 105, 109, 133, 135, 136, 156, 853",MR PANG CHOON HOW,MRS OH-YOW SIHUA KEN,MR LEONG CHUN KEONG,MADAM CHAN MEI FUNG JOYCE,na,na,na,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL
NANYANG PRIMARY SCHOOL,http://www.nyps.moe.edu.sg,52 KING'S ROAD   ,268097,64672677,na,64686913,na,nyps@moe.edu.sg,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",MADAM WONG LI PENG,MS LIM KAR WAE FIONA,MISS SHARLENE CHYE HUI TING,MR JAMES CHONG KOK CHIANG,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,CHINESE,na,na
NATIONAL JUNIOR COLLEGE,http://www.nationaljc.moe.edu.sg,37 HILLCREST ROAD   ,288913,64661144,na,64684535,na,njc@moe.edu.sg,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","67, 74, 151, 154, 156, 157, 170, 174, 852, 961",MRS TOH LUCY,MR HARESH S/O SIVARAM,MISS SIM SOO LENG AILEEN,MR CHONG CHEE KEONG ALVIN,na,na,na,BUKIT TIMAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL (S1-JC2),No,No,No,Yes,CHINESE,MALAY,TAMIL
NAVAL BASE PRIMARY SCHOOL,http://www.navalbasepri.moe.edu.sg/,7 YISHUN AVE 4   ,769028,67537114,na,67555355,na,nbps@moe.edu.sg,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,MR CHIA CHEE WENG RICHARD CHRIS,MADAM LIM WAI CHOO MRS GOH WAI CHOO,MR RAJINDER SINGH S/O PIARA SINGH,MR PHUA YONG SWEE,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NAVAL BASE SECONDARY SCHOOL,http://www.navalbasesec.moe.edu.sg,901 YISHUN RING ROAD   ,768689,62571996,na,67557706,na,nbss@moe.edu.sg,KHATIB MRT,"39, 85, 117, 670, 807, 811, 812, 851, 852, 853, 854, 855, 857, 858, 861, 965, 969",MADAM LINDA YEO SOCK KHOON,MR LIM SEOW KUAN,MR MARC WO HWEE TECK,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300 Tanglin Halt Road   ,148812,64748805,na,64741249,na,ntps@moe.edu.sg,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",MISS HANNAH CHIA CUI'E,MRS CHIN WEY LING LYNNE,MRS TRINA POOK SIM NAR,MADAM FOO HUEY YING (FU HUIYING),na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NEW TOWN SECONDARY SCHOOL,http://www.newtownsec.moe.edu.sg,1020 DOVER ROAD   ,139657,67754140,na,67752310,na,ntss@moe.edu.sg,"DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183",MR ARIVAZHAGAN MANICKAM,MISS GOH YI LING ELISSA,MR LEONARD TAN SOON TECK,MADAM ONG LAY YEN,na,na,na,QUEENSTOWN,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
NGEE ANN PRIMARY SCHOOL,http://www.ngeeannpri.moe.edu.sg,344 MARINE TERRACE   ,449149,64418677,na,64417411,na,naps@moe.edu.sg,Nil,"13, 16, 16M, 31, 36, 43, 47, 48, 55, 135, 196, 196E, 197, 853M (at Marine Parade road), 13, 16, 16M, 196 and 196E(at Marine Terrace)",MADAM PANG SIU SAN,MADAM LEE LI LI,MADAM LOW LEE CHERN,MS RYNNE CHRISTINE CHUA LI LI,na,na,na,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NGEE ANN SECONDARY SCHOOL,http://www.ngeeannsec.moe.edu.sg,1 TAMPINES STREET 32   ,529283,67844583,na,67840453,na,nass@moe.edu.sg,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",MISS POH SHI HUI,MR GOH CHIN WEI,MADAM TAN LAY GIN,na,na,na,na,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL
NORTH SPRING PRIMARY SCHOOL,http://www.northspringpri.moe.edu.sg,1 RIVERVALE STREET   ,545088,68816887,63888764,63851044,na,nsps@moe.edu.sg,"NEL - Sengkang Station, LRT - Bakau Station","SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",MADAM PHAN SWEE LIN SHERIN JACINTA,MADAM SALIEMA BINTE MOHAMED IQBAL,MADAM LIM SHEUE TYUG,MISS JESSICA YAT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTH VIEW PRIMARY SCHOOL,http://www.northviewpri.moe.edu.sg,210 YISHUN AVENUE 6   ,768960,67593235,na,67593237,na,nvps@moe.edu.sg,"Yishun, Khatib","Feeder Service 804, 806, 807, 860",MRS GRACE CHUA,MADAM LING SOOK LENG,MRS NUR FATIMAH BTE ABDUL MALIK MRS NUR FATIMAH FRAUDER,MR CHAN SOON HUA,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTH VISTA PRIMARY SCHOOL,http://www.northvistapri.moe.edu.sg,20 Compassvale Link   ,544974,64843566,na,64843568,na,nvtps@moe.edu.sg,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,Ong Lye Whatt,MISS GOH AI LING,MR MOHD AZUAN TAN,MADAM KANG SIEW LENG AUDREY,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTH VISTA SECONDARY SCHOOL,http://www.northvistasec.moe.edu.sg,11 RIVERVALE LINK   ,545081,68793930,na,68793931,na,northvistass@moe.edu.sg,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",MR TAN ENG HONG JONATHAN,MR PILLAY P KRISHNAN,MISS WU XIAOYUAN,MR KWEK CHIN LEONG,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
NORTHBROOKS SECONDARY SCHOOL,http://www.northbrookssec.moe.edu.sg,585 YISHUN RING ROAD   ,768692,67524311,na,67566110,na,northbrooks@moe.edu.sg,"YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103",MR CHEN XUANTING EDMUND,MR YIP KOK HOONG (YE GUOXIONG),MR LIM YANG CHERNG,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
NORTHLAND PRIMARY SCHOOL,http://www.northlandpri.moe.edu.sg,15 YISHUN AVENUE 4   ,769026,67598884,na,67559196,na,northland_ps@moe.edu.sg,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,MR JAY WESTLY MAHARDALE,MR CHONG CHOONG HIAN,MISS LEE QUEE CHOO GINA,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
NORTHLAND SECONDARY SCHOOL,http://www.northlandsec.moe.edu.sg,3 YISHUN STREET 22   ,768578,62576781,na,62573634,na,northland_ss@moe.edu.sg,YISHUN MRT,"811, 804, 800",MR LIM KOK HWA,MR PETERSON JOSEPH STANLEY,MR TAN CHER HUI PHILIP,MR CHEEN HSIEN HONG,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL
